Image,Label
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1887.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/3387.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1650.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/3585.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/985.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1194.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/3028.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1647.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1898.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/2861.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/493.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/2349.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/769.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1484.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/3505.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/704.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1787.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/3059.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1353.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/159.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/3116.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/3513.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/2877.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/3611.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1510.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1292.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1999.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1474.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/70.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/2125.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1623.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1324.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1374.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/2835.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1822.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/3577.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/2279.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1041.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/992.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/708.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1354.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/2595.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1557.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/2707.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/466.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/525.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/2570.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/2108.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/3534.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1163.jpg,0
/home/marcelo/Downloads/v1_cam1_no_split/Drive Safe/1247.jpg,0
